_date,totaltransactions,channelclosemutualtx,channelclosesolotx,channelcreatetx,channeldeposittx,channelforceprogresstx,channelsettletx,channelslashtx,channelsnapshotsolotx,channelwithdrawtx,contractcalltx,contractcreatetx,nameclaimtx,namepreclaimtx,namerevoketx,nametransfertx,nameupdatetx,oracleextendtx,oraclequerytx,oracleregistertx,oracleresponsetx,spendtx,totalspend
2018-11-28,24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,21,1100000000115351762
2018-11-29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,200000000009200000
2018-11-30,27,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,10410011040004090001
2018-12-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125000000000000000000
2018-12-03,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2000000330000
2018-12-04,3009,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,3005,1000328410050060670003
2018-12-05,2688,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,2517,40005090260000
2018-12-06,3102,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,1,1,1,1,3091,201204460027110707037
2018-12-07,2127,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,2,2,2115,556088141108097357027
2018-12-08,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4261299900000000016384
2018-12-09,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,154220800000000000000003
2018-12-10,4591,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,4,0,0,0,0,4574,15000000000000093380000
2018-12-11,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,219024190006990006851000
2018-12-12,48712,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,48705,536601212451130788157764
2018-12-13,1927,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,1914,1046873227161516194376118
2018-12-14,2294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,1688306503087951158007370
2018-12-15,2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2135,967541949736133522351090
2018-12-16,1748,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,496797418225380829377230
2018-12-17,1710,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705,552702112633448199349482
2018-12-18,2045,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044,631536301188478219534886
2018-12-19,1828,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,573964280842707208460328
2018-12-20,2049,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2039,576094296699638678561643
2018-12-21,2021,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,658616948406440898359242
2018-12-22,1927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1926,429528158300348988753504
2018-12-23,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,508903110577829999102972
